comments,sentiment
"['шикарный', 'пост', 'перевод', 'осада', 'столица', 'планета', 'робаут', 'выверять', 'приказ', 'организовывать', 'штурм', 'заниматься', 'снабжение', 'войско', 'контингент', 'тот', 'увидеть', 'цирк', 'подвинуть', 'робаут', 'сторонка', 'мочь', 'наблюдать', 'воевать', 'настоящий', 'гач', 'тёмный', 'ангел', 'робаут', 'благоразумно', 'отойти', 'сторона', 'доверешиться', 'профессионал', 'прогадать', 'пара', 'час', 'контингент', 'тот', 'прорваться', 'центр', 'столица', 'дружно', 'взлететь', 'воздух', 'огонь', 'ядерный', 'взрыв', 'вместе', 'верховный', 'магистр', 'разумеется', 'это', 'часть', 'секретный', 'доктрина', 'легион', 'фрагмент', 'бронь', 'боевой', 'брат', 'тот', 'находить', 'течение', 'несколько', 'месяц', 'весь', 'контенент']",1
"['это', 'тот', 'давать', 'нех', 'уничтожение']",1
"['кстати', 'слаанеш', 'эра', 'сигмара', 'реально', 'стать', 'папа', 'мама']",0
"['быть', 'фулгрим', 'сильный', 'выглядеть', 'зигвальда']",0
"['место', 'событие']",0
"['ребята', 'насчёт', 'минька', 'сигвальда', 'поменять', 'нога', 'хвост']",1
"['такса', 'такса', 'фут', 'версия', 'спрашивать']",1
['огонь'],1
"['кто', 'фарит', 'редлосса']",1
"['это', 'кто', 'кхарна', 'сцепиться']",1
"['читер', 'хсм', 'который', 'притворяться', 'крутой', 'собиратель', 'черепов', 'хотя', 'бафф', 'скилловый', 'космодес', 'который', 'свой', 'время', 'обратить', 'внимание', 'бог', 'хаос', 'весь', 'крутость', 'это', 'читерский', 'баффа', 'варп', 'сущность', 'чисто', 'эгоистический', 'цель', 'грубо', 'говорить', 'кхарна', 'красавчик', 'читер']",1
"['друже', 'конец', 'время', 'фб', 'пояснить', 'вроде', 'общий', 'инф', 'прочитать', 'мочь', 'понять', 'предательство', 'теклис']",0
"['космоволк', 'покинуть', 'помещение']",0
"['это', 'многое', 'обьяснять']",0
"['фурри', 'враг', 'народ']",0
"['смерть', 'фурри']",0
"['плохо', 'шарить', 'инглиш', 'поэтому', 'подсказать', 'разговор']",0
"['голос', 'габриэль', 'ангелоса', 'хороший', 'таки', 'актёр', 'озвучка']",0
"['человек', 'фурри', 'кст']",0
"['понять', 'храмовник', 'сын', 'фенрис', 'поделить', 'история', 'объяснить']",1
"['хаосит', 'такой', 'забавный']",1
['ультрамарин'],0
"['кхарна', 'рост', 'примариса']",0
"['робо', 'жопа', 'вместо', 'голова']",0
['субтитр'],0
"['это', 'современный', 'арт']",0
"['обсуждать', 'саня', 'придушить']",1
"['альфария', 'палиться', 'задний', 'фон']",1
"['мнить', 'сангвиние', 'целый', 'рота', 'гач', 'аниме', 'ангел', 'должный', 'сидеть']",0
"['видеть', 'свой', 'брат', 'хорусый']",1
"['ангел', 'видно']",1
"['куча', 'хорусов', 'альфария', 'позади']",0
"['знак', 'расчленитель', 'обслуживать', 'барный', 'стойка']",0
"['это', 'крч', 'пьяный', 'неуравновешенный', 'контузить', 'человек', 'обострение']",1
"['ти', 'хорусый', 'ти', 'хорусый']",1
"['простить', 'говно']",0
"['белые', 'шрам', 'использовать', 'псайкер', 'запрет']",1
"['вроде', 'теплить', 'бом', 'бом', 'терлить', 'бом', 'бом', 'быть', 'использовать', 'псайкер', 'уничтожить', 'легион']",1
"['концовочка', 'удалённый']",0
"['ждать', 'флешгитс', 'стравить', 'волков', 'храмовник', 'причина', 'фурри']",1
"['блэ', 'утро', 'начать', 'есосить', 'влка', 'фенрик', 'ук', 'кто', 'лень', 'писосить', 'волков', 'этожий', 'просто', 'волчатинааа', 'фурриеопство', 'толковый', 'обосцать', 'тот', 'тысяча', 'сынов', 'низзить', 'пострадать', 'прям', 'блм', 'насцать', 'другой', 'орден', 'легион', 'прям', 'никак']",1
"['волк', 'помочь', 'свой', 'брат', 'волк', 'прийтись', 'сломать', 'закон', 'отец', 'волк', 'ибо', 'волк', 'ауфа']",0
"['лев', 'использовать', 'сила', 'фенрис', 'весь', 'первый', 'жопошникнуть', 'первый']",1
"['получаться', 'тысяча', 'сынов', 'использовать', 'сила', 'тизка']",0
"['лицемер', 'взять']",1
"['какой', 'хрен', 'лев', 'волков', 'суета']",0
"['смех', 'слеза']",1
"['кроме', 'фенрис', 'работать', 'тип', 'фильтр', 'волк', 'шрам', 'применять', 'примитивный', 'магия', 'метание', 'молния', 'фаербол', 'тысячник', 'сложный', 'оккультный', 'система', 'который', 'быстрый', 'зашквариться', 'плюс', 'фамильяр', 'натуральный', 'демон', 'защитный', 'контур', 'который', 'тот', 'самый', 'вилка', 'спина', 'воткнуть', 'сожжение', 'просперо', 'книга', 'люция', 'тысячник', 'прямо', 'это', 'сказать', 'развести', 'лох', 'мечник', 'ржать', 'орк']",0
"['жалко', 'дизов', 'вк']",0
"['волков', 'правда', 'другой']",1
"['энергия', 'прошедший', 'дух', 'мир', 'чистый', 'моркай', 'пропускать', 'говно', 'варпа', 'аутист', 'думать', 'маг', 'сынов', 'рунный', 'жрец', 'одинаково', 'работать']",0
"['даун', 'который', 'быть', 'говорить', 'астартёс', 'потерять']",0
"['это', 'ересь']",0
"['левый', 'проткнуть', 'живот', 'правый', 'примарх', 'приказать', 'уничтожить', 'астрономикона']",0
"['псиный', 'псиный']",1
"['лансер', 'сайбер', 'судьбый', 'сколько', 'версия']",1
['гавный'],0
"['ходить', 'легенда', 'жрать', 'еретик', 'ксеносов']",0
"['лайк', 'волк', 'аутист']",1
"['думать', 'баба', 'отдельный', 'броня']",0
"['вахоеб', 'консерватор', 'коммент', 'негодовать', 'интересно', 'наблюдать']",0
"['мир', 'стать', 'преждний']",0
"['александр', 'говорить', 'дорн', 'русс', 'терра', 'прежний', 'считать', 'лицемер']",0
"['этот', 'бессмысленный', 'война', 'кончиться']",0
"['псина', 'орден', 'псиный', 'шутить']",0
"['конь', 'парнокопытный']",1
"['кровь', 'девственница', 'летний', 'выдержка']",0
"['дух', 'фенрис', 'это', 'правда', 'вон', 'время', 'осада', 'рунный', 'жрец', 'призывать']",0
"['варп', 'сила', 'фенрис', 'жрец', 'верить', 'это', 'хотя', 'понимать', 'использовать', 'граница', 'позволять', 'лезть', 'далёкий', 'мочь', 'справиться', 'жаждать', 'отличие', 'тс', 'который', 'дурной', 'батя', 'считать', 'знать', 'всеотец']",1
"['рябяка', 'забывать', 'пропорция', 'наказание', 'соответственно', 'поступок', 'метание', 'молния', 'гадание', 'руно', 'например', 'арест', 'псайкер', 'командир', 'магнус', 'минуточка', 'открыть', 'стабильный', 'варп', 'портал', 'жепеть', 'император', 'помощь', 'высокий', 'офицер', 'легион', 'поубивать', 'куча', 'учёный', 'поломать', 'оборудование', 'похоронить', 'надежда', 'человечество', 'защита', 'варпа', 'блохастый', 'лицемер', 'херня', 'устраивать']",1
"['шутка', 'вроде', 'лев', 'уметь', 'читать']",1
"['русс', 'главный', 'инициатор', 'эдикт', 'говорить', 'хаос', 'победить', 'сила', 'варпа']",1
"['тысячник', 'долбо', 'который', 'спорить', 'малыш', 'самый', 'весёлый', 'малый', 'выносить', 'лола']",1
"['замечательный', 'отмазка', 'это', 'сила', 'фенрис', 'это', 'другой', 'напоминать']",1
"['странно', 'такой', 'читать', 'учёт', 'лев', 'уметь', 'читать', 'волк', 'поле', 'уметь', 'русс', 'инициатор', 'эликт', 'насколько', 'помнить', 'волк', 'крайне', 'любить', 'псайкнр', 'косо', 'смотреть', 'библиарий', 'хотя', 'сам', 'рунный', 'дрец', 'который', 'свой', 'дело', 'легион', 'являться', 'факт', 'библиария', 'бой', 'редко', 'брать', 'интересно', 'группа', 'яро', 'ненавидеть', 'волков', 'читать', 'книга', 'часто', 'приходить', 'момент', 'империум', 'списать', 'планета', 'потеря', 'полка', 'гражданин', 'умерший', 'империум', 'осторожно', 'относиться', 'просперо', 'волчий', 'лорд', 'проявлять', 'рвение', 'стойкость', 'большенство', 'другой', 'орден', 'отступить', 'ось', 'следовать', 'кодекс', 'волк', 'ставить', 'жизнь', 'гражданин', 'империя', 'выше', 'свой', 'приходить', 'туда', 'другой', 'орден', 'приходить', 'помощь', 'считать', 'это', 'бесполезный', 'трата', 'ресурс', 'орден', 'такой']",1
"['вселенная', 'зв', 'оказываться', 'проть', 'криговца', 'взглянуть']",0
['ересь'],0
"['бабомарин', 'задолбать']",0
"['офтартёс', 'ата', 'мир', 'лофадей']",1
"['серый', 'рыцарь', 'черпать', 'сила', 'варпа', 'стержень', 'позволять', 'творить', 'варпа', 'магия', 'который', 'противостоять', 'демон']",1
"['конь', 'фартук']",1
"['магнус', 'это']",0
['лоргар'],0
['мегатрооон'],0
"['пертурабо', 'целиком', 'полностью', 'кусок', 'железо', 'живой', 'стать', 'демоничество']",0
"['кстати', 'таки', 'получиться', 'гвоздь', 'ангрон', 'просто', 'предатель', 'кровь', 'кровавый', 'бог', 'лоргар', 'говорить', 'дескать', 'гвоздь', 'убить', 'превращение', 'демон', 'принц', 'участь', 'спасти', 'арт', 'прежний', 'гвоздь']",1
"['омегон', 'видать']",0
['хиккан'],0
['ува'],0
"['фулгрим', 'баба', 'штол']",0
"['лоргар', 'прям', 'подняться', 'хаос', 'неделимый', 'вряд', 'справиться']",1
['лоргар'],0
['автор'],0
"['фулгрим', 'сифилис']",0
"['первый', 'отлично', 'читаемый', 'особенно', 'руна', 'второй', 'наш', 'жрец', 'никея', 'запрещать']",1
"['фулгрим', 'метатон', 'андертеить', 'смахивать']",1
"['какой', 'красавчик']",0
"['очень', 'крутой', 'работа']",1
['правдивый'],0
"['ниал', 'исакара', 'ор']",1
['лолгарин'],0
"['видеть', 'объявление', 'одинокий', 'кобылка', 'искать', 'свой', 'противогазный', 'наездник', 'телефон', 'спросить', 'комиссар', 'рехтгоффен']",0
['намолить'],0
['насосать'],0
"['глаз', 'козлик']",1
"['лион', 'шоколадный', 'палец', 'док']",1
['шикарный'],1
"['похожий', 'император', 'внешне', 'внушать', 'восхищение', 'свой', 'благость', 'красота', 'буквально', 'золотой', 'мальчик', 'какой', 'мерзость', 'превратиться', 'мдэ', 'это', 'чисто', 'внешне', 'говорить', 'о', 'весь', 'остальной']",1
"['отвратительный', 'эрести']",0
['лоргар'],0
"['ваш', 'это', 'аниме']",1
"['фулгримм', 'какой', 'цыганка', 'превратиться']",1
"['пертурабо', 'демон']",1
"['примарха', 'который', 'присягнуть', 'верность', 'один', 'аспект', 'варпа', 'стать', 'демон', 'принц', 'остальной', 'малый', 'мера', 'подверженный', 'изменение', 'варпа']",0
"['волк', 'тысячник']",0
"['отвалить', 'пиздюлина', 'воронёнок']",1
"['глаз', 'намекать', 'баран']",1
"['лион', 'доткать']",0
"['слева', 'направо']",1
"['годный', 'арт']",1
"['кёрзнуть', 'тип', 'какой', 'точнее', 'душа', 'который', 'затронуть', 'хаос', 'находиться', 'эльдарский', 'камень', 'душа']",1
"['лорган', 'хватать']",0
"['металический', 'чей']",1
['мортарион'],0
['третий'],1
"['это', 'считаться', 'псайкер', 'назвать', 'рунный', 'жрец']",0
"['окрасить', 'тот', 'цвет', 'который', 'окрасить']",1
"['сразу', 'приходить', 'врата', 'хель', 'ака', 'кибернетический', 'воскрешение', 'пассаж', 'железный', 'человек', 'отлично', 'дополнять', 'экстракт']",1
"['галактика', 'существовать', 'огромный', 'количество', 'мистический', 'артефакт', 'широко', 'распространить', 'среди', 'бесчисленный', 'мир', 'флотилия', 'артефакт', 'это', 'априори', 'писать', 'галиматья']",1
"['фулгримка', 'словить']",0
['плохо'],0
"['гв', 'выпускать', 'ролик', 'новый', 'год', 'комьюнити', 'гримдарк', 'умирать', 'этж', 'просто', 'поздравление']",0
"['ждать', 'анонс', 'легион', 'новогодний', 'канибал', 'шрам', 'святой', 'сант']",1
"['оборзель', 'гс', 'ляпнуть']",0
"['волк', 'многое', 'исключение', 'правило', 'считать', 'исключительный', 'сей', 'пора', 'невыносимый', 'больно', 'это', 'принять']",0
"['марш', 'антипрививочник']",0
"['быть', 'сторона', 'жилиман', 'детишки', 'пошутить', 'битва', 'прививочник', 'антипрививочник']",0
"['обалденный', 'арт', 'морт', 'эпичный']",1
"['вести', 'наш', 'легион', 'примарх', 'мортарион']",1
"['великий', 'непривитый', 'очень', 'эпичный', 'точно', 'оправдывать', 'свой', 'статус', 'мрачный', 'жнец']",1
"['мортить', 'смотреть', 'мортить']",1
"['хватить', 'сегодня', 'интернет']",0
"['ржавый', 'вонючка']",1
"['это', 'оф', 'арт']",0
['лион'],0
"['классный', 'арт', 'морт', 'доставлять', 'обчихать', 'свой', 'сосед']",1
"['экран', 'пара', 'село']",1
"['понравиться', 'весёлый', 'ролик', 'арт', 'считать', 'уважаемый', 'специалист', 'коммент', 'пора', 'лечиться']",1
"['копейщик', 'люминуть', 'подарить', 'морской', 'черепашка']",0
"['агрессивный', 'фанат', 'арт', 'фат']",1
"['гнилушка', 'отлично', 'смотреться']",1
['альфария'],0
"['первый', 'пикча', 'изобразить', 'легионер', 'предатель', 'который', 'превращаться', 'легионер', 'предатель']",1
"['альфария', 'омегон']",0
"['чей', 'влажный', 'фантазия', 'делаться', 'сороковник', 'это', 'план', 'альфа', 'легион']",1
"['тот', 'альфария', 'косить', 'хотеть', 'лояльный', 'орден', 'порочить']",0
"['бедный', 'альфалегион', 'кто', 'лень', 'маскироваться', 'творить', 'всякий', 'фигня']",0
"['работать', 'этот', 'маскировка', 'основать', 'пси', 'сила', 'технология']",0
"['фигас', 'годнота']",1
"['лоялист', 'маскироваться', 'альф']",1
"['альфа', 'легионер', 'поддаться', 'хаос', 'остаться', 'сторона', 'человечество', 'изначально', 'хороший', 'побуждение']",1
"['фигас', 'говнота']",1
"['нумерология', 'животворящий', 'делать']",1
['есегуэй'],0
['хэх'],0
"['нормально', 'реж', 'идонет', 'аксессуар', 'спейс', 'мара']",1
"['продаться', 'гв', 'прийтись', 'снова', 'делать', 'новый', 'коробка', 'это', 'промолчать']",0
"['нож', 'носка', 'ботинок', 'присоединить']",1
"['нанотехнология', 'сынок']",0
"['дакка', 'желательно', 'большой']",1
"['силовой', 'кед', 'силовой', 'доспех', 'подворота']",0
"['ого', 'коул', 'найти', 'археотех', 'время', 'тэта', 'совка', 'тупой', 'сжатие', 'максималка']",0
"['млгать', 'орига', 'минька', 'показать']",0
"['гнилушка', 'китайчик', 'хороший']",1
"['новый', 'коллекция']",1
['мда'],0
"['пошутить', 'митол', 'гир']",1
"['приём', 'приём', 'вызывать', 'пояснительный', 'бригада']",1
['щеееееть'],0
"['первый', 'казахский', 'космодесантник']",0
"['красный', 'кроссовок', 'синий', 'корпус']",1
"['бляяяяяять', 'поход', 'лоргар', 'принять', 'ислам']",1
"['второй', 'арт', 'одевать', 'наплечник', 'наплечник', 'носить', 'наплечник', 'пока', 'носить', 'наплечник']",0
"['один', 'конкретика', 'текст', 'прогон', 'вода', 'труба']",0
['слеза'],1
"['вызывать', 'армия', 'примариса', 'лейтенант']",1
['слипнуться'],1
"['знать', 'ересевать', 'бронький', 'нравиться', 'свой', 'изюминка']",1
"['знать', 'откуда', 'взяться', 'копюшон', 'библиарий']",0
"['интересовать', 'новый', 'модель', 'чернокнижник', 'капюшон']",1
"['собсон', 'выглядеть', 'любой', 'релиз', 'примарис', 'хватать', 'надпись', 'полный', 'комплект']",0
"['слабоумный', 'астартёс', 'судить', 'размер', 'гол']",1
"['естественно', 'длинноухий', 'помогать', 'хумана', 'разбирать', 'железный', 'человек']",1
"['око', 'ужас', 'слаанеш', 'ушастый', 'корень', 'вырезать', 'разница', 'цвет', 'былой', 'заслуга']",0
"['ублюдок', 'лола']",0
"['ошейник', 'против', 'психический', 'сила', 'кхорн', 'одобрять']",1
"['рог', 'хит', 'сезон']",0
['юнит'],0
"['неплохо', 'выглядеть', 'рог', 'органично', 'сочетаться', 'вообще', 'удивительный', 'миниатюра', 'слаанешит', 'который', 'минька', 'сам', 'знать', 'тентакль']",0
['каво'],0
"['антагонистка', 'первый', 'сезон', 'могучий', 'рейнджер']",1
"['гв', 'молодец', 'понять', 'женский', 'лицо', 'получаться', 'закрыть', 'тряпочка', 'умно']",1
['подвох'],0
"['транс', 'колдун']",1
"['шамаханский', 'царица']",1
"['человек', 'тэта', 'вообще', 'орк', 'эльдар', 'истребить']",1
"['сначала', 'понять', 'взять', 'вообще', 'понять']",0
"['обычно', 'сверху', 'колдунья', 'снизу', 'колдун']",1
"['ждать', 'прошмандовка', 'хиш']",1
['одобрять'],1
"['ты', 'такой', 'тифон']",1
"['свет', 'зеркальце', 'сказать']",0
"['ебббааааааать', 'неужели', 'хаулера', 'поставить', 'плевалка', 'аносон', 'арт']",1
"['олдскула', 'прям']",1
"['олдовымь', 'арт', 'завеять']",1
"['дожить', 'гримдарковый', 'кодекс', 'дефгард']",0
"['косплеить', 'альф', 'бедный', 'альфа', 'держаться', 'напор', 'столь', 'подлый', 'беспринципный', 'легион', 'лоялист']",0
"['рот', 'примариса']",1
"['чтожий', 'колдун', 'прийтись', 'искать', 'альтернатива', 'начинаться']",0
"['это', 'ублюдок', 'ксеносов', 'крошить']",0
"['это', 'звук', 'лейтенант', 'похоже', 'звук', 'перекат', 'приближаться', 'лейтенант', 'альфария']",0
"['весь', 'альфа', 'легион', 'предатель', 'слышать', 'некоторый', 'альфа', 'легионер', 'сохранить', 'верность', 'император']",1
"['плазменный', 'винтовка', 'фолыкать']",0
"['болтереть', 'тысяча', 'истина']",1
"['прекола', 'простой', 'деревня']",1
"['пояснительный', 'бригада', 'срочно']",0
"['это', 'рояль', 'куст', 'настолько', 'толсто', 'фабия', 'улыбка', 'рожа', 'треснуть', 'ручонка', 'загребущий', 'вспотеть']",1
"['завет', 'огонь', 'никто', 'смутить']",0
"['это', 'фотошоп', 'реально', 'подз']",0
"['дорн', 'уйти']",0
"['глаз', 'явный', 'любитель', 'скин']",1
"['дорн', 'упороть', 'фиолетовый', 'мутант', 'упарывающийся', 'религия', 'расхерачить', 'пол', 'фаланга', 'сарпедон', 'передавать', 'привет', 'ад']",1
"['ребята', 'это', 'жилить', 'запретить', 'коул', 'использовать', 'гоносемя', 'предатель']",1
"['читать', 'ересь', 'технология', 'классный', 'выйти', 'рассказ']",1
"['читать', 'старый', 'земля', 'спойлер', 'вулкан', 'раздробить', 'статуя', 'шевелиться', 'серебряный', 'рука', 'это', 'получаться', 'помощь', 'некротехник', 'часть', 'душа', 'горгон', 'вернуться', 'рука', 'наверно', 'ферусый', 'офигел', 'чувство']",0
"['плюнуть', 'любой', 'лоялист', 'всякий', 'вундервафля', 'карман', 'распихать', 'способный', 'нагибать', 'целый', 'мир', 'ховербайка', 'вернуть']",0
['прикол'],1
"['орден', 'называться', 'сын', 'феникс', 'около', 'феникс', 'называть', 'фулгрим', 'расцветка', 'геральдика', 'напоминать', 'ребёнок', 'император', 'понятно', 'это', 'прикол', 'наследник', 'кулак', 'мысль', 'наводить']",1
"['интересно', 'основа', 'технология', 'случайно', 'богатырь', 'рассказ', 'милосердие', 'дракон']",0
"['томный', 'империум', 'коул', 'говорить', 'жила', 'мол', 'легион', 'который', 'стать', 'предатель', 'часть', 'замысел', 'император', 'поэтому', 'нужно', 'восстановить', 'геносемя', 'иметься', 'жилить', 'это', 'сказать', 'нетъ', 'коул', 'щитый', 'поделать', 'факт', 'должный', 'ребёнок', 'император', 'тысячник', 'миражор', 'несуна', 'общий', 'полный', 'колода']",1
"['уриель', 'вентрис', 'примариса', 'получить', 'примаризация', 'демонический', 'паровоз', 'геймс', 'воркшоп', 'уточнить']",1
"['обычно', 'ждать', 'спойлер', 'хорусый', 'умереть']",0
"['полководец', 'синистереть', 'быть']",0
['филлер'],0
"['френч', 'хотя', 'это']",1
"['пошаговый', 'стратегия', 'описание', 'ход', 'книжка']",0
"['фраза', 'приобретать', 'смысл']",1
"['таки', 'подняться', 'примариса']",0
"['это', 'ожидать']",1
"['глядеть', 'внущительный']",1
"['это', 'сложно', 'собраться', 'хотя', 'три', 'тёмный', 'примарх', 'вместе', 'кокнуть', 'последний', 'верный', 'сын', 'император', 'быть', 'очередь', 'приходить', 'получать', 'пизда', 'убегать', 'затаить', 'обида', 'обещать', 'атамстяттта', 'переодичность', 'один', 'столетие']",0
"['хонсю', 'огонёк', 'заглянуть']",1
"['немного', 'юмор', 'кугата', 'демон', 'нургнуть', 'значит', 'читать']",1
"['интересно', 'итог', 'абба', 'лично', 'прикончить']",0
"['аркадий', 'паровоз']",0
"['юра', 'юра', 'юра']",1
"['вангуй', 'битва', 'дамнос']",1
"['интересно', 'убить', 'мортарион', 'жиллиман']",0
"['капец', 'убогий']",0
['чёткий'],1
"['это', 'реальный', 'официальный', 'минь']",1
"['слишком', 'слой', 'краска', 'голова']",0
"['голова', 'плечо', 'менять', 'менее', 'бесячея', 'хотя', 'вообще', 'вентрис']",1
"['плоскостопие', 'ой', 'степень']",0
"['взгляд', 'первый', 'нормальный', 'арт', 'жилой']",1
"['падажжать', 'третий', 'второй']",1
"['арт', 'жить', 'прям', 'сочный', 'ждать', 'полноформатный']",1
"['пария', 'ден', 'такой', 'намутмл', 'альфа', 'несущий', 'слово', 'упоминание', 'магнус', 'интересно', 'далёкий']",0
"['хвала', 'бог', 'этот', 'книга', 'выйти']",0
['твоюжмать'],0
"['оно', 'стоить', 'титан', 'модель', 'варлорд']",0
"['уррррааааааааааа', 'гришка', 'альфария', 'снова', 'дело']",0
"['жилить', 'заразить', 'божественный', 'чума', 'вернуться', 'русс', 'вылечить', 'мъедом']",0
"['книга', 'происходить', 'титан', 'хаос', 'кто', 'отправить']",0
"['главное', 'дожить']",1
"['угловатый', 'силовой', 'тапка', 'убого', 'смотреться']",1
"['суровый', 'чтиво', 'первый', 'пария', 'дядя', 'дэн', 'собрать', 'сорт', 'хаоситский', 'фекалия', 'один', 'место', 'храм', 'клон', 'биквино', 'собраться', 'продать', 'несущий', 'слово', 'дом', 'госпожа', 'гло', 'сидеть', 'босс', 'качалка', 'ребёнок', 'император', 'который', 'кусок', 'ткань', 'силовой', 'броня', 'сделать', 'гигант', 'доспех', 'развалюха', 'говорящий', 'псина', 'оказаться', 'альфа', 'легионер', 'слово', 'ооочень', 'забавно', 'читать']",1
['уродомарин'],0
"['паровоз', 'карл']",1
"['сколько', 'всякий', 'куйн', 'просыпаться', 'варпа', 'проснуться', 'лояльный', 'примарх']",0
"['это', 'лунный', 'клан']",0
['страчан'],0
"['перевод', 'плиз']",0
"['феликс', 'тёмный', 'эльфийка']",0
"['сестра', 'битва']",1
"['слишком', 'слой', 'краска', 'слишком', 'мало', 'паровоз']",0
['любопытно'],1
"['написать', 'кокнуть', 'бл', 'решить', 'прикалываться', 'механикус']",1
"['написать', 'адекватный', 'человеческий', 'язык', 'словно', 'школьник', 'оригинальный', 'коммент', 'писать']",0
"['вопрос', 'книга', 'прохождение', 'готрик', 'аоса', 'перевести']",0
"['неужели', 'год', 'карл', 'год', 'ждать', 'продолжение', 'пария']",0
"['мелковато', 'гигант', 'дракон', 'демон', 'старое', 'мир', 'новый', 'успеть', 'разный', 'понавырезать']",0
"['это', 'вид', 'ксеносов']",1
"['автобиография', 'босс']",0
"['могущественный', 'проснуться']",0
"['иии', 'разумеется', 'придельный', 'страшный', 'лысый', 'чернокожий', 'сестра', 'центр', 'два', 'белый', 'стоить', 'немного', 'милый', 'красивый', 'немного', 'женственный', 'мочь', 'чернокожий', 'разный', 'расовый', 'пренадлежность', 'столь', 'явный', 'акцент', 'один', 'белокожий', 'сестра', 'стоять', 'впереди', 'два', 'чёрный', 'гнаться', 'понимать']",1
"['наш', 'улица', 'перевернуться', 'лэндрейдер', 'варп', 'конфета']",1
"['новый', 'актуальный', 'ксенология']",1
"['привет', 'детка', 'звать', 'черубаэль']",1
"['эх', 'надеяться', 'выйти', 'адб', 'абнетта', 'написать', 'два', 'книга', 'хотя', 'френч', 'хороший']",0
"['проснуться', 'мб', 'иннеада', 'импить', 'молитва', 'деяние', 'свой', 'верующий', 'таки', 'стать', 'бог', 'горк', 'морк', 'сразу', 'оба', 'решить', 'пастукать', 'сразу']",1
"['это', 'время', 'варпа', 'пробуждаться', 'могущественный', 'хонсю', 'пертурабо', 'пнуть']",1
"['осторожно', 'спойлер', 'намешать', 'клон', 'пария', 'повсюду', 'подавлять', 'аура', 'устройство', 'штамповать', 'храм', 'кулексус', 'чтоль', 'агент', 'альфа', 'легион', 'разрывать', 'рукопашка', 'несущий', 'слово', 'инквизитор', 'лорд', 'ребёнок', 'император', 'доспех', 'лепестковый', 'это', 'набить', 'оскомина', 'организация', 'когнуть', 'рушиться', 'восприятие', 'мир']",0
"['весь', 'альфа', 'легион']",1
"['узнать', 'император', 'это', 'альфария', 'омегон', 'это', 'бог', 'хаос', 'который', 'сам', 'дело', 'горка', 'морк']",0
['помидорк'],0
"['точный', 'омегана']",1
